total_events_h12,event_type_diversity_h12,unique_repos_h12,last_active_minute_h12,first_active_minute_h12,activity_duration_h12,push_count_h12,pr_count_h12,minutes_since_last_action_h12,is_active_next_hour,total_events_h12_capped,unique_repos_h12_capped,events_per_repo,diversity_score,log_total_events,is_bot_suspect
2,1,1,58,58,0.0,0.0,0.0,2,0,2,1,1.0,0.5,1.0986122886681098,0
6,2,1,54,13,17.534727447743997,4.0,2.0,6,0,6,1,3.0,0.3333333333333333,1.9459101490553132,0
1,1,1,56,56,0.0,1.0,0.0,4,0,1,1,0.5,1.0,0.6931471805599453,0
4,1,1,55,0,23.89386253134195,4.0,0.0,5,0,4,1,2.0,0.25,1.6094379124341003,0
5,2,2,8,6,0.8366600265340755,2.0,0.0,52,0,5,2,1.6666666666666667,0.4,1.791759469228055,0
3,1,1,47,19,14.294521094927712,3.0,0.0,13,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
5,3,2,36,17,7.861297602813419,1.0,0.0,24,0,5,2,1.6666666666666667,0.6,1.791759469228055,0
2,1,1,51,51,0.0,0.0,0.0,9,0,2,1,1.0,0.5,1.0986122886681098,0
1,1,1,59,59,0.0,1.0,0.0,1,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,50,50,0.0,0.0,0.0,10,1,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,51,33,12.727922061357855,2.0,0.0,9,0,2,1,1.0,0.5,1.0986122886681098,0
5,1,3,35,32,1.341640786499874,0.0,0.0,25,1,5,3,1.25,0.2,1.791759469228055,0
10,2,1,47,2,17.18558827752034,6.0,4.0,13,1,10,1,5.0,0.2,2.3978952727983707,0
3,1,1,26,22,2.081665999466132,3.0,0.0,34,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
2,2,1,3,2,0.7071067811865476,1.0,1.0,57,0,2,1,1.0,1.0,1.0986122886681098,0
9,1,1,56,1,19.364916731037084,9.0,0.0,4,1,9,1,4.5,0.1111111111111111,2.302585092994046,0
3,1,2,57,53,2.0,0.0,0.0,3,0,3,2,1.0,0.3333333333333333,1.3862943611198906,0
1,1,1,58,58,0.0,0.0,0.0,2,1,1,1,0.5,1.0,0.6931471805599453,0
13,1,1,55,10,13.57977379819916,13.0,0.0,5,1,13,1,6.5,0.07692307692307693,2.6390573296152584,0
1,1,1,47,47,0.0,1.0,0.0,13,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,51,51,0.0,0.0,0.0,9,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,41,41,0.0,0.0,0.0,19,1,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,47,47,0.0,1.0,0.0,13,1,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,44,44,0.0,1.0,0.0,16,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,27,15,8.48528137423857,2.0,0.0,33,0,2,1,1.0,0.5,1.0986122886681098,0
3,1,3,28,12,8.082903768654761,0.0,0.0,32,1,3,3,0.75,0.3333333333333333,1.3862943611198906,0
1,1,1,45,45,0.0,1.0,0.0,15,1,1,1,0.5,1.0,0.6931471805599453,0
3,1,1,57,42,7.54983443527075,3.0,0.0,3,1,3,1,1.5,0.3333333333333333,1.3862943611198906,0
1,1,1,0,0,0.0,1.0,0.0,60,0,1,1,0.5,1.0,0.6931471805599453,0
5,1,2,51,35,6.4031242374328485,5.0,0.0,9,0,5,2,1.6666666666666667,0.2,1.791759469228055,0
19,1,1,40,3,11.759530165257553,19.0,0.0,20,1,19,1,9.5,0.05263157894736842,2.995732273553991,0
1,1,1,0,0,0.0,1.0,0.0,60,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,28,28,0.0,1.0,0.0,32,0,1,1,0.5,1.0,0.6931471805599453,0
3,1,1,11,7,2.081665999466133,3.0,0.0,49,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
1,1,1,19,19,0.0,0.0,0.0,41,1,1,1,0.5,1.0,0.6931471805599453,0
5,1,4,57,44,5.0695167422546294,5.0,0.0,3,0,5,4,1.0,0.2,1.791759469228055,0
